"","Condition","List","GenderRating","NameShown","NameFirst","NameLast","He","She","Other","OtherType","Response","SubjID","SubjGender","SubjAge","SubjRace","SubjEd"
"1","first",1,1.21,"Matthew","Matthew",NA,1,0,0,"","he ate breakfast.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"2","first",1,1.24,"Brian","Brian",NA,1,0,0,"","he went to bed.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"3","first",1,1.28,"James","James",NA,1,0,0,"","he watched a movie.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"4","first",1,2.12,"Chris","Chris",NA,1,0,0,"","he started dancing.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"5","first",1,2.41,"Tommie","Tommie",NA,0,1,0,"","she transferred the photos.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"6","first",1,2.61,"Emerson","Emerson",NA,1,0,0,"","he started talking.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"7","first",1,3.61,"Stevie","Stevie",NA,1,0,0,"","he jumped for joy.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"8","first",1,3.75,"Quinn","Quinn",NA,0,1,0,"","she ate some food.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"9","first",1,3.87,"Reese","Reese",NA,1,0,0,"","he took a sip.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"10","first",1,4.22,"Taylor","Taylor",NA,1,0,0,"","he double checked the bags.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"11","first",1,4.34,"Riley","Riley",NA,0,1,0,"","she took the jacket off.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"12","first",1,4.39,"Jessie","Jessie",NA,0,1,0,"","she lounged on a chair.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"13","first",1,4.73,"Kerry","Kerry",NA,0,1,0,"","she replied to it.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"14","first",1,5.22,"Blair","Blair",NA,0,1,0,"","she thought about her life.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"15","first",1,5.34,"Jackie","Jackie",NA,1,0,0,"","he listened to music.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"16","first",1,5.59,"Jodie","Jodie",NA,1,0,0,"","he sang a song.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"17","first",1,5.86,"Elisha","Elisha",NA,1,0,0,"","he made some coffee.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"18","first",1,6.24,"Ashley","Ashley",NA,0,1,0,"","she had a snack.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"19","first",1,6.73,"Mary","Mary",NA,1,0,0,"","he watched some videos.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"20","first",1,6.78,"Rebecca","Rebecca",NA,0,1,0,"","she tossed it in her hand.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"21","first",1,6.82,"Emily","Emily",NA,1,0,0,"","he took a nap.","R_3KHegW05dgfjA7D","female","25 - 34","White/Asian","2 year degree"
"22","first",3,1.21,"Matthew","Matthew",NA,1,0,0,"","he went to sleep","R_3NvReycq3V3cyYX","male","35 - 44","White","4 year degree"
"23","first",3,1.24,"Brian","Brian",NA,1,0,0,"","he went to the bathroom","R_3NvReycq3V3cyYX","male","35 - 44","White","4 year degree"
"24","first",3,1.28,"James","James",NA,1,0,0,"","he fixed his glove","R_3NvReycq3V3cyYX","male","35 - 44","White","4 year degree"
"25","first",3,2.12,"Chris","Chris",NA,1,0,0,"","he went to his car","R_3NvReycq3V3cyYX","male","35 - 44","White","4 year degree"
"26","first",3,2.41,"Tommie","Tommie",NA,0,1,0,"","she hung up","R_3NvReycq3V3cyYX","male","35 - 44","White","4 year degree"
"27","first",3,2.61,"Emerson","Emerson",NA,1,0,0,"","he drank some water","R_3NvReycq3V3cyYX","male","35 - 44","White","4 year degree"
"28","first",3,3.61,"Stevie","Stevie",NA,1,0,0,"","he tied his shoe","R_3NvReycq3V3cyYX","male","35 - 44","White","4 year degree"
"29","first",3,3.75,"Quinn","Quinn",NA,1,0,0,"","wiped his hands","R_3NvReycq3V3cyYX","male","35 - 44","White","4 year degree"
"30","first",3,3.87,"Reese","Reese",NA,1,0,0,"","he went back inside","R_3NvReycq3V3cyYX","male","35 - 44","White","4 year degree"
"31","first",3,4.22,"Taylor","Taylor",NA,0,0,1,"no subject","asked for a less androgynous name so that the guy taking the survey stopped calling she a he","R_3NvReycq3V3cyYX","male","35 - 44","White","4 year degree"
"32","first",3,4.34,"Riley","Riley",NA,1,0,0,"","he went outside","R_3NvReycq3V3cyYX","male","35 - 44","White","4 year degree"
"33","first",3,4.39,"Jessie","Jessie",NA,1,0,0,"","he took a nap","R_3NvReycq3V3cyYX","male","35 - 44","White","4 year degree"
"34","first",3,4.73,"Kerry","Kerry",NA,0,1,0,"","she went to school","R_3NvReycq3V3cyYX","male","35 - 44","White","4 year degree"
"35","first",3,5.22,"Blair","Blair",NA,0,1,0,"","she changed the station","R_3NvReycq3V3cyYX","male","35 - 44","White","4 year degree"
"36","first",3,5.34,"Jackie","Jackie",NA,0,1,0,"","she went inside","R_3NvReycq3V3cyYX","male","35 - 44","White","4 year degree"
"37","first",3,5.59,"Jodie","Jodie",NA,0,1,0,"","she cleaned her face","R_3NvReycq3V3cyYX","male","35 - 44","White","4 year degree"
"38","first",3,5.86,"Elisha","Elisha",NA,0,1,0,"","she went and had a sip","R_3NvReycq3V3cyYX","male","35 - 44","White","4 year degree"
