"","Condition","List","GenderRating","NameShown","NameFirst","NameLast","Male","Female","Other","SubjID","SubjGender","SubjAge","SubjRace","SubjEd"
"1","first","2A",5.59,"Jodie","Jodie",NA,1,0,0,"R_30jGe8KkWjNvIYO","male","18 - 24","White","Some college"
"2","first","2A",4.22,"Taylor","Taylor",NA,1,0,0,"R_30jGe8KkWjNvIYO","male","18 - 24","White","Some college"
"3","first","2A",2.12,"Chris","Chris",NA,0,1,0,"R_30jGe8KkWjNvIYO","male","18 - 24","White","Some college"
"4","first","2A",6.73,"Mary","Mary",NA,1,0,0,"R_30jGe8KkWjNvIYO","male","18 - 24","White","Some college"
"5","first","2A",3.61,"Stevie","Stevie",NA,1,0,0,"R_30jGe8KkWjNvIYO","male","18 - 24","White","Some college"
"6","first","2A",4.73,"Kerry","Kerry",NA,0,1,0,"R_30jGe8KkWjNvIYO","male","18 - 24","White","Some college"
"7","first","2A",1.21,"Matthew","Matthew",NA,1,0,0,"R_30jGe8KkWjNvIYO","male","18 - 24","White","Some college"
"8","first","3C",6.24,"Ashley","Ashley",NA,0,1,0,"R_21bOhIN8nUFi79Z","female","25 - 34","White","4 year degree"
"9","first","3C",4.39,"Jessie","Jessie",NA,0,1,0,"R_21bOhIN8nUFi79Z","female","25 - 34","White","4 year degree"
"10","first","3C",2.61,"Emerson","Emerson",NA,1,0,0,"R_21bOhIN8nUFi79Z","female","25 - 34","White","4 year degree"
"11","first","3C",3.87,"Reese","Reese",NA,1,0,0,"R_21bOhIN8nUFi79Z","female","25 - 34","White","4 year degree"
"12","first","3C",1.28,"James","James",NA,1,0,0,"R_21bOhIN8nUFi79Z","female","25 - 34","White","4 year degree"
"13","first","3C",6.82,"Emily","Emily",NA,0,1,0,"R_21bOhIN8nUFi79Z","female","25 - 34","White","4 year degree"
"14","first","3C",5.34,"Jackie","Jackie",NA,0,1,0,"R_21bOhIN8nUFi79Z","female","25 - 34","White","4 year degree"
"15","first","1C",1.28,"James","James",NA,1,0,0,"R_2V93bDR9EXZ86j6","male","18 - 24","White","Some college"
"16","first","1C",2.61,"Emerson","Emerson",NA,1,0,0,"R_2V93bDR9EXZ86j6","male","18 - 24","White","Some college"
"17","first","1C",3.87,"Reese","Reese",NA,0,1,0,"R_2V93bDR9EXZ86j6","male","18 - 24","White","Some college"
"18","first","1C",4.39,"Jessie","Jessie",NA,1,0,0,"R_2V93bDR9EXZ86j6","male","18 - 24","White","Some college"
"19","first","1C",5.34,"Jackie","Jackie",NA,1,0,0,"R_2V93bDR9EXZ86j6","male","18 - 24","White","Some college"
"20","first","1C",6.24,"Ashley","Ashley",NA,0,1,0,"R_2V93bDR9EXZ86j6","male","18 - 24","White","Some college"
