"","Condition","List","GenderRating","Name","Prompt","Male","Female","Other","Likeable","Accomplished","Important","SubjID","SubjGender","SubjAge","SubjRace","SubjEd"
"1","first","1C",6.24,"Ashley Cook","book",0,1,0,2,1,2,"R_aVmy7ViCvsDa97H","male","25 - 34","White","4 year degree"
"2","first","1C",2.61,"Emerson Moore","meals",1,0,0,1,2,1,"R_aVmy7ViCvsDa97H","male","25 - 34","White","4 year degree"
"3","first","1C",6.82,"Emily Ward","album",0,1,0,3,1,5,"R_aVmy7ViCvsDa97H","male","25 - 34","White","4 year degree"
"4","first","1C",5.34,"Jackie Turner","animals",0,1,0,2,4,5,"R_aVmy7ViCvsDa97H","male","25 - 34","White","4 year degree"
"5","first","1C",1.28,"James Green","science",1,0,0,4,2,1,"R_aVmy7ViCvsDa97H","male","25 - 34","White","4 year degree"
"6","first","1C",4.39,"Jessie Brooks","sports",1,0,0,3,2,4,"R_aVmy7ViCvsDa97H","male","25 - 34","White","4 year degree"
"7","first","1C",3.87,"Reese King","politics",1,0,0,3,2,3,"R_aVmy7ViCvsDa97H","male","25 - 34","White","4 year degree"
"8","first","3B",5.22,"Blair Hill","book",1,0,0,3,5,3,"R_11ZqwOIUwFJzitI","male","35 - 44","White","4 year degree"
"9","first","3B",1.24,"Brian King","animals",1,0,0,2,3,2,"R_11ZqwOIUwFJzitI","male","35 - 44","White","4 year degree"
"10","first","3B",5.86,"Elisha Moore","politics",0,1,0,4,3,2,"R_11ZqwOIUwFJzitI","male","35 - 44","White","4 year degree"
"11","first","3B",3.75,"Quinn Parker","sports",1,0,0,3,1,3,"R_11ZqwOIUwFJzitI","male","35 - 44","White","4 year degree"
"12","first","3B",6.78,"Rebecca Wright","meals",0,1,0,2,3,2,"R_11ZqwOIUwFJzitI","male","35 - 44","White","4 year degree"
"13","first","3B",4.34,"Riley Cook","science",0,1,0,4,3,2,"R_11ZqwOIUwFJzitI","male","35 - 44","White","4 year degree"
